benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,1,0.200000,1,16,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,17,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,18,16,1600,FulcrumInner,decoder,1942.857143,1828.571429,Mbs,
binary,1,0.200000,1,19,16,1600,FulcrumInner,decoder,2026.666667,1706.666667,Mbs,
binary,1,0.200000,1,20,16,1600,FulcrumInner,decoder,1904.761905,1219.047619,Mbs,
binary,1,0.200000,1,21,16,1600,FulcrumInner,decoder,1976.470588,1505.882353,Mbs,
binary,1,0.200000,1,22,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,23,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs,
binary,1,0.200000,1,24,16,1600,FulcrumInner,decoder,1600.000000,1347.368421,Mbs,
binary,1,0.200000,1,25,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,26,16,1600,FulcrumInner,decoder,1777.777778,1422.222222,Mbs,
binary,1,0.200000,1,27,16,1600,FulcrumInner,decoder,2026.666667,1706.666667,Mbs,
binary,1,0.200000,1,28,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,29,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,30,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,31,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,32,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,33,16,1600,FulcrumInner,decoder,1900.000000,1600.000000,Mbs,
binary,1,0.200000,1,34,16,1600,FulcrumInner,decoder,2026.666667,1706.666667,Mbs,
binary,1,0.200000,1,35,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,1,0.200000,1,36,16,1600,FulcrumInner,decoder,1976.470588,1505.882353,Mbs,
binary,1,0.200000,1,37,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,38,16,1600,FulcrumInner,decoder,1107.692308,984.615385,Mbs,
binary,1,0.200000,1,39,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,40,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,41,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,42,16,1600,FulcrumInner,decoder,1200.000000,914.285714,Mbs,
binary,1,0.200000,1,43,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs,
binary,1,0.200000,1,44,16,1600,FulcrumInner,decoder,1777.777778,1422.222222,Mbs,
binary,1,0.200000,1,45,16,1600,FulcrumInner,decoder,1213.793103,882.758621,Mbs,
binary,1,0.200000,1,46,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,47,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,48,16,1600,FulcrumInner,decoder,1900.000000,1600.000000,Mbs,
binary,1,0.200000,1,49,16,1600,FulcrumInner,decoder,1200.000000,1066.666667,Mbs,
binary,1,0.200000,1,50,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,51,16,1600,FulcrumInner,decoder,1900.000000,1600.000000,Mbs,
binary,1,0.200000,1,52,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,53,16,1600,FulcrumInner,decoder,1216.000000,1024.000000,Mbs,
binary,1,0.200000,1,54,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,55,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,56,16,1600,FulcrumInner,decoder,1942.857143,1828.571429,Mbs,
binary,1,0.200000,1,57,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,58,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,1,0.200000,1,59,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,1,0.200000,1,60,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,61,16,1600,FulcrumInner,decoder,1169.230769,984.615385,Mbs,
binary,1,0.200000,1,62,16,1600,FulcrumInner,decoder,1882.352941,1505.882353,Mbs,
binary,1,0.200000,1,63,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,64,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,65,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,66,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,1,0.200000,1,67,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,68,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,69,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,70,16,1600,FulcrumInner,decoder,1777.777778,1422.222222,Mbs,
binary,1,0.200000,1,71,16,1600,FulcrumInner,decoder,1852.631579,1347.368421,Mbs,
binary,1,0.200000,1,72,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,1,0.200000,1,73,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,74,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,75,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,76,16,1600,FulcrumInner,decoder,2092.307692,1969.230769,Mbs,
binary,1,0.200000,1,77,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,78,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,79,16,1600,FulcrumInner,decoder,1942.857143,1828.571429,Mbs,
binary,1,0.200000,1,80,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,81,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,82,16,1600,FulcrumInner,decoder,1900.000000,1600.000000,Mbs,
binary,1,0.200000,1,83,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,84,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,85,16,1600,FulcrumInner,decoder,1942.857143,1828.571429,Mbs,
binary,1,0.200000,1,86,16,1600,FulcrumInner,decoder,1882.352941,1505.882353,Mbs,
