benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.5,4,569.7,117,4,1600,32,FulcrumInner,569.7,encoder,MB/s
Binary,0.2,1,866.599,184,0,1600,32,FulcrumInner,974.924,decoder,MB/s
Binary,0.2,1,804.303,184,1,1600,32,FulcrumInner,980.244,decoder,MB/s
Binary,0.2,1,885.081,184,2,1600,32,FulcrumInner,995.716,decoder,MB/s
Binary,0.2,1,851.339,185,3,1600,32,FulcrumInner,984.361,decoder,MB/s
Binary,0.2,1,912.7,185,4,1600,32,FulcrumInner,941.222,decoder,MB/s
Binary,0.2,2,839.589,169,0,1600,32,FulcrumInner,970.774,decoder,MB/s
Binary,0.2,2,849.313,169,1,1600,32,FulcrumInner,982.018,decoder,MB/s
Binary,0.2,2,888.179,178,2,1600,32,FulcrumInner,971.445,decoder,MB/s
Binary,0.2,2,889.566,178,3,1600,32,FulcrumInner,1000.76,decoder,MB/s
Binary,0.2,2,907.097,178,4,1600,32,FulcrumInner,992.137,decoder,MB/s
Binary,0.2,3,789.549,157,0,1600,32,FulcrumInner,888.243,decoder,MB/s
Binary,0.2,3,721.424,171,1,1600,32,FulcrumInner,946.869,decoder,MB/s
Binary,0.2,3,858.69,171,2,1600,32,FulcrumInner,992.86,decoder,MB/s
Binary,0.2,3,794.294,174,3,1600,32,FulcrumInner,918.402,decoder,MB/s
Binary,0.2,3,871.873,174,4,1600,32,FulcrumInner,1008.1,decoder,MB/s
Binary,0.2,4,761.483,156,0,1600,32,FulcrumInner,904.262,decoder,MB/s
Binary,0.2,4,813.575,162,1,1600,32,FulcrumInner,940.696,decoder,MB/s
Binary,0.2,4,818.23,162,2,1600,32,FulcrumInner,946.079,decoder,MB/s
Binary,0.2,4,822.449,162,3,1600,32,FulcrumInner,976.658,decoder,MB/s
Binary,0.2,4,810.079,162,4,1600,32,FulcrumInner,961.969,decoder,MB/s
Binary,0.3,1,934.81,183,0,1600,32,FulcrumInner,993.236,decoder,MB/s
Binary,0.3,1,940.127,191,1,1600,32,FulcrumInner,969.506,decoder,MB/s
Binary,0.3,1,973.636,191,2,1600,32,FulcrumInner,1004.06,decoder,MB/s
Binary,0.3,1,852.371,192,3,1600,32,FulcrumInner,1012.19,decoder,MB/s
Binary,0.3,1,929.589,192,4,1600,32,FulcrumInner,987.688,decoder,MB/s
Binary,0.3,2,856.077,182,0,1600,32,FulcrumInner,936.334,decoder,MB/s
Binary,0.3,2,916.804,182,1,1600,32,FulcrumInner,1002.75,decoder,MB/s
Binary,0.3,2,920.336,182,2,1600,32,FulcrumInner,1006.62,decoder,MB/s
Binary,0.3,2,859.552,182,3,1600,32,FulcrumInner,966.996,decoder,MB/s
Binary,0.3,2,866.586,182,4,1600,32,FulcrumInner,947.829,decoder,MB/s
Binary,0.3,3,825.889,162,0,1600,32,FulcrumInner,954.934,decoder,MB/s
Binary,0.3,3,811.767,166,1,1600,32,FulcrumInner,963.973,decoder,MB/s
Binary,0.3,3,781.093,173,2,1600,32,FulcrumInner,951.958,decoder,MB/s
Binary,0.3,3,866.778,173,3,1600,32,FulcrumInner,948.038,decoder,MB/s
Binary,0.3,3,845.191,173,4,1600,32,FulcrumInner,950.84,decoder,MB/s
Binary,0.3,4,759.193,150,0,1600,32,FulcrumInner,925.267,decoder,MB/s
Binary,0.3,4,798.306,162,1,1600,32,FulcrumInner,923.041,decoder,MB/s
Binary,0.3,4,811.744,162,2,1600,32,FulcrumInner,938.579,decoder,MB/s
Binary,0.3,4,849.75,166,3,1600,32,FulcrumInner,955.969,decoder,MB/s
Binary,0.3,4,780.173,166,4,1600,32,FulcrumInner,902.075,decoder,MB/s
Binary,0.4,1,836.661,184,0,1600,32,FulcrumInner,967.389,decoder,MB/s
Binary,0.4,1,885.081,184,1,1600,32,FulcrumInner,1023.37,decoder,MB/s
Binary,0.4,1,801.015,185,2,1600,32,FulcrumInner,1026.3,decoder,MB/s
Binary,0.4,1,960.411,190,3,1600,32,FulcrumInner,990.424,decoder,MB/s
Binary,0.4,1,955.787,190,4,1600,32,FulcrumInner,985.655,decoder,MB/s
Binary,0.4,2,851.559,168,0,1600,32,FulcrumInner,1011.23,decoder,MB/s
Binary,0.4,2,837.873,168,1,1600,32,FulcrumInner,968.79,decoder,MB/s
Binary,0.4,2,871.172,175,2,1600,32,FulcrumInner,952.844,decoder,MB/s
Binary,0.4,2,873.653,177,3,1600,32,FulcrumInner,955.558,decoder,MB/s
Binary,0.4,2,849.268,188,4,1600,32,FulcrumInner,981.966,decoder,MB/s
Binary,0.4,3,798.69,162,0,1600,32,FulcrumInner,873.568,decoder,MB/s
Binary,0.4,3,850.213,168,1,1600,32,FulcrumInner,956.489,decoder,MB/s
Binary,0.4,3,820.998,168,2,1600,32,FulcrumInner,974.936,decoder,MB/s
Binary,0.4,3,837.546,168,3,1600,32,FulcrumInner,968.413,decoder,MB/s
Binary,0.4,3,751.698,169,4,1600,32,FulcrumInner,986.604,decoder,MB/s
Binary,0.4,4,815.512,161,0,1600,32,FulcrumInner,942.936,decoder,MB/s
Binary,0.4,4,806.946,167,1,1600,32,FulcrumInner,983.465,decoder,MB/s
Binary,0.4,4,811.773,167,2,1600,32,FulcrumInner,963.98,decoder,MB/s
Binary,0.4,4,811.387,167,3,1600,32,FulcrumInner,938.167,decoder,MB/s
Binary,0.4,4,830.781,167,4,1600,32,FulcrumInner,960.591,decoder,MB/s
Binary,0.5,1,915.993,182,0,1600,32,FulcrumInner,1001.87,decoder,MB/s
Binary,0.5,1,977.099,205,1,1600,32,FulcrumInner,1007.63,decoder,MB/s
Binary,0.5,1,905.374,205,2,1600,32,FulcrumInner,1018.55,decoder,MB/s
Binary,0.5,1,857.306,205,3,1600,32,FulcrumInner,991.26,decoder,MB/s
Binary,0.5,1,949.95,205,4,1600,32,FulcrumInner,1039.01,decoder,MB/s
Binary,0.5,2,853.5,171,0,1600,32,FulcrumInner,986.859,decoder,MB/s
Binary,0.5,2,878.119,186,1,1600,32,FulcrumInner,1015.33,decoder,MB/s
Binary,0.5,2,854.635,186,2,1600,32,FulcrumInner,988.172,decoder,MB/s
Binary,0.5,2,903.872,186,3,1600,32,FulcrumInner,988.61,decoder,MB/s
Binary,0.5,2,864.017,186,4,1600,32,FulcrumInner,999.02,decoder,MB/s
